Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2015-08-03,56.7913027701,57.0322137241,55.8473183516,4992000,56.456976
2015-08-04,56.5159722488,56.9977975972,56.2111473586,5229000,56.919131
2015-08-05,57.332125509,57.8778648004,57.204293209,6853000,57.400957
2015-08-06,57.5238707125,57.7696992199,56.230814239,6211400,56.599557
2015-08-07,56.4028934819,56.5208901827,55.6064076394,5907800,56.299646
2015-08-10,56.7323027272,57.115794709,56.4668074462,4613200,56.717554
2015-08-11,56.1177317536,56.5356397289,55.8669856902,5107400,56.275062
2015-08-12,55.8227378416,55.9259853229,54.4018495633,7127000,55.586741
2015-08-13,55.6899896903,56.3094785244,55.5326594424,5907800,55.852237
2015-08-14,55.8473186383,56.329144482,55.6113257283,4685200,56.225897
2015-08-17,56.1079009601,56.6044716035,55.6014907846,3917400,56.530726
2015-08-18,56.5995575809,56.8748840369,56.3389759188,3669400,56.452059
2015-08-19,56.0488997569,57.0567981134,55.8276555749,6188200,56.52089
2015-08-20,55.9063194338,56.2701446465,55.1835831204,6536800,55.213085
2015-08-21,54.8050083,54.8984246084,52.5286338479,15912800,52.543387
2015-08-24,49.2935336711,52.7941291854,46.4615882605,19882600,51.068416
2015-08-25,52.7449648326,52.7597140516,50.8766701155,13616200,50.901251
2015-08-26,52.3614721614,53.5955322539,51.1224979571,15156000,53.472618
2015-08-27,54.2641867063,55.4048304997,53.900357562,13617400,55.370415
2015-08-28,55.3605797189,55.5572435111,54.8885894692,7526200,55.311415
2015-08-31,55.2573320012,55.3064972116,54.6870118245,7073600,54.942672
2015-09-01,53.5807839082,53.9986918866,53.1137077691,9385200,53.408701
2015-09-02,54.1560211005,54.4657635445,53.6889444787,8536400,54.42643
2015-09-03,54.8256878974,55.2495816899,54.4215072983,6065000,54.638382
2015-09-04,53.8349507331,54.4313638073,53.6969381692,7126200,54.066616
2015-09-08,54.9390534146,55.1411459308,54.3278537289,5511400,55.081996
2015-09-09,55.5551827414,55.6931953024,54.027182059,6349800,54.150408
2015-09-10,54.0518297337,54.7320354619,53.6969380312,7363000,54.406717
2015-09-11,54.3327834924,55.1263551037,54.2144841243,5589600,55.116499
2015-09-14,54.9637000472,55.2347951475,54.7813241747,6833200,55.151002
2015-09-15,55.1559326471,56.2304628618,54.613738995,7699400,56.112163
2015-09-16,56.3536892845,57.1324782307,56.1121634786,8104400,56.969819
2015-09-17,56.8022293798,57.5662317008,56.4670548168,8062600,56.817016
2015-09-18,56.2649661158,56.9944612281,56.0727336462,18615000,56.70858
2015-09-21,57.0141776481,57.7141000103,56.5656371925,8746600,57.452862
